"","Action Comics Vol 1","1"
"","Adventures of the Super Sons Vol 1","1"
"","Aquaman Vol 8","1"
"","Archie Meets Batman '66 Vol 1","1"
"","Batgirl Vol 5","1"
"","Batman Beyond Vol 6","1"
"","Batman Giant Vol 1","1"
"","Batman Vol 3","1"
"","Batman: Damned Vol 1","1"
"","Batman: Earth One Vol 1","1"
"","Batman: Kings of Fear Vol 1","1"
"","Batman: The Dark Prince Charming Vol 1","1"
"","Books of Magic Vol 3","1"
"","Border Town Vol 1","1"
"","Catwoman Vol 5","1"
"","Cover Vol 1","1"
"","The Curse of Brimstone Vol 1","1"
"","Damage Vol 2","1"
"","DC Nation Vol 2","1"
"","DC Previews Vol 1","1"
"","The Death of Superman: Part 1 Vol 1 (Digital)","1"
"","Deathstroke Vol 4","1"
"","Detective Comics Vol 1","1"
"","Doom Patrol Vol 6","1"
"","Doomsday Clock Vol 1","1"
"","The Dreaming Vol 1","1"
"","The Flash Vol 5","1"
"","Gotham City Garage Vol 1","1"
"","Gotham City Garage Vol 1 (Digital)","1"
"","Green Arrow Vol 6","1"
"","Harley Quinn Vol 3","1"
"","Hawkman Vol 5","1"
"","Heroes in Crisis Vol 1","1"
"","Hex Wives Vol 1","1"
"","House of Whispers Vol 1","1"
"","Injustice 2 Vol 1","1"
"","Injustice 2 Vol 1 (Digital)","1"
"","Injustice vs. Masters of the Universe Vol 1","1"
"","Justice League Dark Vol 2","1"
"","Justice League Giant Vol 1","1"
"","Justice League Odyssey Vol 1","1"
"","Justice League Vol 4","1"
"","Looney Tunes Vol 1","1"
"","Lucifer Vol 3","1"
"","Mister Miracle Vol 4","1"
"","Neon Joe: Werewolf Hunter Vol 1","1"
"","Nightwing Vol 4","1"
"","Old Lady Harley Vol 1","1"
"","Pearl Vol 1","1"
"","Plastic Man Vol 5","1"
"","Raven: Daughter of Darkness Vol 1","1"
"","Red Hood and the Outlaws Vol 2","1"
"","Savage Things Vol 1","1"
"","Scarlet Vol 1","1"
"","Scooby Apocalypse Vol 1","1"
"","Scooby-Doo Team-Up Vol 1","1"
"","Scooby-Doo! Team-Up Vol 1 (Digital)","1"
"","Sideways Vol 1","1"
"","The Silencer Vol 1","1"
"","Suicide Squad Vol 5","1"
"","Supergirl Vol 7","1"
"","Superman Giant Vol 1","1"
"","Superman Vol 5","1"
"","Superman: Earth One Vol 1","1"
"","Teen Titans Giant Vol 1","1"
"","Teen Titans Go! Vol 2","1"
"","Teen Titans Vol 6","1"
"","Teen Titans: Earth One Vol 1","1"
"","The Terrifics Vol 1","1"
"","Titans Vol 3","1"
"","The Unexpected Vol 1","1"
"","United States vs. Murder  Inc. Vol 1","1"
"","The Wild Storm Vol 1","1"
"","Wonder Woman Vol 5","1"
"","Wonder Woman: Earth One Vol 1","1"
