"comic_id","comic_name","comic_writer","comic_artist","comic_publication_date","comic_cover_img","comic_volume_id","comic_inventory_id"
1306,"""Action Comics #0""","""Jerry Siegel""","""Joe Shuster""","""June  1938""","https://vignette.wikia.nocookie.net/marvel_dc/images/5/5a/Action_Comics_1.jpg/revision/latest?cb=20140125003421",,
1307,"""Action Comics #1""","""Jerry Siegel""","""Leo O'Mealia""","""July  1938""","https://vignette.wikia.nocookie.net/marvel_dc/images/7/71/Action_Comics_2.jpg/revision/latest?cb=20140125010731",,
1308,"""Action Comics #2""","""Jerry Siegel""","""Leo O'Mealia""","""August  1938""","https://vignette.wikia.nocookie.net/marvel_dc/images/6/62/Action_Comics_3.jpg/revision/latest?cb=20140125020034",,
1309,"""Action Comics #3""","""Jerry Siegel""","""Leo O'Mealia""","""September  1938""","https://vignette.wikia.nocookie.net/marvel_dc/images/0/0b/Action_Comics_4.jpg/revision/latest?cb=20140125030445",,
1310,"""Action Comics #4""","""Jerry Siegel""","""Leo O'Mealia""","""October  1938""","https://vignette.wikia.nocookie.net/marvel_dc/images/8/85/Action_Comics_5.jpg/revision/latest?cb=20140125172522",,
1311,"""Action Comics #5""","""Jerry Siegel""","""Leo O'Mealia""","""November  1938""","https://vignette.wikia.nocookie.net/marvel_dc/images/8/84/Action_Comics_6.jpg/revision/latest?cb=20140125183018",,
1312,"""Action Comics #6""","""Jerry Siegel""","""Joe Shuster""","""December  1938""","https://vignette.wikia.nocookie.net/marvel_dc/images/e/e5/Action_Comics_7.jpg/revision/latest?cb=20140125192331",,
1313,"""Action Comics #7""","""Jerry Siegel""","""Fred Guardineer""","""January  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/6/65/Action_Comics_8.jpg/revision/latest?cb=20140207010010",,
1314,"""Action Comics #8""","""Jerry Siegel""","""Fred Guardineer""","""February  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/f/ff/Action_Comics_Vol_1_9.jpg/revision/latest?cb=20140104192117",,
1315,"""Action Comics #9""","""Jerry Siegel""","""Joe Shuster""","""March  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/4/41/Action_Comics_10.jpg/revision/latest?cb=20140222193647",,
1316,"""Action Comics #10""","""Jerry Siegel""","""Fred Guardineer""","""April  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/a/af/Action_Comics_11.jpg/revision/latest?cb=20140222194956",,
1317,"""Action Comics #11""","""Jerry Siegel""","""Fred Guardineer""","""May  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/f/f8/Action_Comics_12.jpg/revision/latest?cb=20140223212524",,
1318,"""Action Comics #12""","""Jerry Siegel""","""Joe Shuster""","""June  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/7/7f/Action_Comics_13.jpg/revision/latest?cb=20140223215849",,
1319,"""Action Comics #13""","""Jerry Siegel""","""Fred Guardineer""","""July  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/2/21/Action_Comics_14.jpg/revision/latest?cb=20140421005422",,
1320,"""Action Comics #14""","""Jerry Siegel""","""Joe Shuster""","""August  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/d/d3/Action_Comics_15.jpg/revision/latest?cb=20140421003746",,
1321,"""Action Comics #15""","""Jerry Siegel""","""Fred Guardineer""","""September  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/9/9d/Action_Comics_16.jpg/revision/latest?cb=20140607170656",,
1322,"""Action Comics #16""","""Jerry Siegel""","""Joe Shuster""","""October  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/3/38/Action_Comics_017.jpg/revision/latest?cb=20140607175308",,
1323,"""Action Comics #17""","""Jerry Siegel""","""Fred Guardineer""","""November  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/2/2a/Action_Comics_018.jpg/revision/latest?cb=20080405004817",,
1324,"""Action Comics #18""","""Jerry Siegel""","""Joe Shuster""","""December  1939""","https://vignette.wikia.nocookie.net/marvel_dc/images/b/b8/Action_Comics_019.jpg/revision/latest?cb=20140405212950",,
1325,"""Action Comics #19""","""Jerry Siegel""","""Joe Shuster""","""January  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/a/a6/Action_Comics_020.jpg/revision/latest?cb=20080405004818",,
1326,"""Action Comics #20""","""Jerry Siegel""","""Joe Shuster""","""February  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/d/d1/Action_Comics_021.jpg/revision/latest?cb=20120115221626",,
1327,"""Action Comics #21""","""Jerry Siegel""","""Joe Shuster""","""March  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/b/b9/Action_Comics_022.jpg/revision/latest?cb=20120115221838",,
1328,"""Action Comics #22""","""Jerry Siegel""","""Joe Shuster""","""April  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/2/29/Action_Comics_023.jpg/revision/latest?cb=20120115221957",,
1329,"""Action Comics #23""","""Jerry Siegel""","""Joe Shuster""","""May  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/f/f5/Action_Comics_024.jpg/revision/latest?cb=20120115222134",,
1330,"""Action Comics #24""","""Jerry Siegel""","""Wayne Boring""","""June  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/8/82/Action_Comics_025.jpg/revision/latest?cb=20120115222304",,
1331,"""Action Comics #25""","""Jerry Siegel""","""Wayne Boring""","""July  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/5/5e/Action_Comics_026.jpg/revision/latest?cb=20080412023251",,
1332,"""Action Comics #26""","""Jerry Siegel""","""Paul Cassidy""","""August  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/2/2e/Action_Comics_027.jpg/revision/latest?cb=20080412023252",,
1333,"""Action Comics #27""","""Jerry Siegel""","""Paul Cassidy""","""September  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/3/38/Action_Comics_028.jpg/revision/latest?cb=20080412023253",,
1334,"""Action Comics #28""","""Jerry Siegel""","""Wayne Boring""","""October  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/c/c8/Action_Comics_029.jpg/revision/latest?cb=20080412023253",,
1335,"""Action Comics #29""","""Jerry Siegel""","""Wayne Boring""","""November  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/9/96/Action_Comics_030.jpg/revision/latest?cb=20080412023253",,
1336,"""Action Comics #30""","""Jerry Siegel""","""Wayne Boring""","""December  1940""","https://vignette.wikia.nocookie.net/marvel_dc/images/3/30/Action_Comics_031.jpg/revision/latest?cb=20080412024741",,
